   0.0000000000000000e+00   0.0000000000000000e+00   0.0000000000000000e+00   1.8810271999999999e-02
   1.0000000000000000e+02   0.0000000000000000e+00   0.0000000000000000e+00   3.1108856000000001e-03
   2.0000000000000000e+02   0.0000000000000000e+00   0.0000000000000000e+00   6.9236755000000004e-03
   3.0000000000000000e+02   0.0000000000000000e+00   0.0000000000000000e+00   1.9531250000000000e-02
   4.0000000000000000e+02   0.0000000000000000e+00   0.0000000000000000e+00   1.0152817000000000e-02
   5.0000000000000000e+02   0.0000000000000000e+00   0.0000000000000000e+00   1.7883301000000001e-02
   6.0000000000000000e+02   0.0000000000000000e+00   0.0000000000000000e+00   1.8215179000000000e-03
   7.0000000000000000e+02   0.0000000000000000e+00   0.0000000000000000e+00  -8.9435577000000002e-03
   8.0000000000000000e+02   0.0000000000000000e+00   0.0000000000000000e+00  -5.2909851000000003e-03
   9.0000000000000000e+02   0.0000000000000000e+00   0.0000000000000000e+00  -2.8039932000000000e-02
   1.0000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00  -2.7921676999999999e-02
   1.1000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00  -4.5549393000000001e-02
   1.2000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00  -4.1364669999999999e-02
   1.3000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00  -2.5604248000000000e-02
   1.4000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00  -1.8247604000000001e-02
   1.5000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00  -3.8980484000000003e-02
   1.6000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00  -5.7159424000000000e-02
   1.7000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00  -1.0178760000000001e-01
   1.8000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00  -1.2150569999999999e-01
   1.9000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00  -1.3461880000000001e-01
   2.0000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00  -1.1915590000000000e-01
   2.1000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00  -6.2961578000000004e-02
   2.2000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00   6.2084198000000000e-03
   2.3000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00   8.0541610999999999e-02
   2.4000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00   1.5202900000000000e-01
   2.5000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00   1.6233829999999999e-01
   2.6000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00   1.9269180000000000e-01
   2.7000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00   2.0379829999999999e-01
   2.8000000000000000e+03   0.0000000000000000e+00   0.0000000000000000e+00   2.0582960000000000e-01
